
プロパティ	説明
component	Box要素に適用する要素タグ（例：div、span、aなど）。
sx	            スタイルプロパティを適用するためのオブジェクト。
bgcolor	        背景色を指定します。
color	        テキストの色を指定します。
fontFamily	    フォントファミリーを指定します。
fontSize	    フォントサイズを指定します。
fontStyle	    フォントスタイルを指定します（italic、normalなど）。
fontWeight	    フォントウェイトを指定します。
letterSpacing	文字間隔を指定します。
lineHeight	    行の高さを指定します。
textAlign	    テキストの配置を指定します（left、center、rightなど）。
textDecoration	テキストの飾りを指定します（underline、overline、line-throughなど）。
textTransform	テキストの変換を指定します（uppercase、lowercase、capitalizeなど）。
borderRadius	ボックスの角の丸みを指定します。
border	        ボックスの境界線を指定します。
boxShadow	    ボックスの影を指定します。
display	        ボックスの表示方法を指定します（block、inline、flexなど）。
flexDirection	flexboxレイアウトの方向を指定します（row、columnなど）。
alignItems	    flexboxレイアウトのアイテムの垂直方向の配置を指定します。
justifyContent	flexboxレイアウトのアイテムの水平方向の配置を指定します。
flexWrap	    flexboxレイアウトの折り返しの方法を指定します（nowrap、wrap、wrap-reverse）。
flexGrow	    flexboxレイアウトのアイテムの伸縮性を指定します。
flexShrink	    flexboxレイアウトのアイテムの収縮性を指定します。
flexBasis	    flexboxレイアウトのアイテムのベースのサイズを指定します。
width	        ボックスの幅を指定します。
height	        ボックスの高さを指定します。
maxWidth	    ボックスの最大幅を指定します。
maxHeight	    ボックスの最大高さを指定します。
minWidth	    ボックスの最小幅を指定します。
minHeight	    ボックスの最小高さを指定します。
margin	        ボックスの外側の余白を指定します。
marginTop	    ボックスの上部の余白を指定します。
marginRight	    ボックスの右側の余白を指定
